序号,出发站,到达站,时间
211,成都东客站,红星桥,2026.02.25 18:29
212,建设北路,成都东客站,2026.02.25 17:42
213,省体育馆,前锋路,2026.02.25 16:50
214,前锋路,省体育馆,2026.02.25 13:38
215,省体育馆,前锋路,2026.02.26 17:43
216,前锋路,省体育馆,2026.02.26 13:38
217,省体育馆,前锋路,2026.02.27 16:42
218,前锋路,省体育馆,2026.02.27 13:26
219,省体育馆,市二医院,2026.02.28 12:18
220,前锋路,省体育馆,2026.02.28 09:00
221,机车厂,建设北路,2026.03.01 16:43
222,春熙路,机车厂,2026.03.01 15:55
223,天府广场,春熙路,2026.03.01 15:18
224,前锋路,春熙路,2026.03.01 11:29
225,春熙路,红星桥,2026.03.06 20:47
226,前锋路,春熙路,2026.03.06 18:38
227,倪家桥,建设北路,2026.03.07 18:26
228,前锋路,省体育馆,2026.03.07 13:58
229,有轨电车,有轨电车,2026.03.08 14:59
230,机投桥,成都西站,2026.03.08 14:55
231,龙桥路,机投桥,2026.03.08 14:18
232,芳草街,三元,2026.03.08 12:21
233,升仙湖,建设北路,2026.03.09 19:52
234,前锋路,火车北站,2026.03.09 18:54
235,建设北路,升仙湖,2026.03.14 11:35
236,春熙路,前锋路,2026.03.15 19:29
237,前锋路,春熙路,2026.03.15 17:15
238,牛王庙,建设北路,2026.03.15 16:05
239,建设北路,牛王庙,2026.03.15 12:28
240,崔家店,建设北路,2026.03.18 21:36
241,前锋路,双店路,2026.03.18 19:26
242,春熙路,前锋路,2026.03.20 20:55
243,前锋路,春熙路,2026.03.20 18:07
244,金府,前锋路,2026.03.20 15:49
245,前锋路,新桥,2026.03.20 14:48
246,倪家桥,建设北路,2026.03.21 21:08
247,前锋路,新桥,2026.03.21 14:51
248,九江北,红星桥,2026.03.22 20:56
249,有轨电车,有轨电车,2026.03.22 16:33
250,科园,成都西站,2026.03.22 16:18
251,前锋路,省体育馆,2026.03.22 12:35
252,桐梓林,红星桥,2026.03.27 14:37
253,前锋路,桐梓林,2026.03.27 11:53
254,倪家桥,前锋路,2026.03.28 17:15
255,前锋路,倪家桥,2026.03.28 13:55
256,省体育馆,前锋路,2026.03.29 13:25
257,前锋路,省体育馆,2026.03.29 09:33
258,玉双路,建设北路,2026.03.30 19:49
259,双桥路,建设北路,2026.04.03 21:15
260,西大街,双桥路,2026.04.03 18:14
261,建设北路,西大街,2026.04.03 17:00
262,西大街,建设北路,2026.04.04 19:33
263,天府广场,西大街,2026.04.04 18:23
264,世纪城,天府广场,2026.04.04 16:55
265,火车南站,世纪城,2026.04.04 13:14
266,市二医院,文殊院,2026.04.05 13:23
267,倪家桥,市二医院,2026.04.05 12:55
268,前锋路,省体育馆,2026.04.05 09:39
269,人民公园,建设北路,2026.04.06 13:24
270,春熙路,前锋路,2026.04.10 19:28
271,前锋路,春熙路,2026.04.10 17:03
272,龙华寺,建设北路,2026.04.11 20:05
273,双桥路,明蜀王陵,2026.04.11 18:30
274,红星桥,省体育馆,2026.04.11 12:35
275,锦城广场东,建设北路,2026.04.12 19:31
276,建设北路,龙泉驿火车站南,2026.04.12 17:05
277,梁家巷,建设北路,2026.04.14 13:35
278,孵化园,建设北路,2026.04.17 21:16
279,西博城,孵化园,2026.04.17 19:53
